Date,Unleaded95.CyprusAverage,Unleaded98.CyprusAverage,Diesel.CyprusAverage,HeatingDiesel.CyprusAverage,Kerosene.CyprusAverage,Unleaded95.CyprusMin,Unleaded98.CyprusMin,Diesel.CyprusMin,HeatingDiesel.CyprusMin,Kerosene.CyprusMin,Unleaded95.CyprusMax,Unleaded98.CyprusMax,Diesel.CyprusMax,HeatingDiesel.CyprusMax,Kerosene.CyprusMax,Unleaded95.CyprusMedian,Unleaded98.CyprusMedian,Diesel.CyprusMedian,HeatingDiesel.CyprusMedian,Kerosene.CyprusMedian
2025-02-12,1.429,1.512,1.524,1.057,1.094,,,,,,,,,,,,,,,
2025-02-13,1.429,1.512,1.523,1.057,1.094,,,,,,,,,,,,,,,
2025-02-14,1.429,1.512,1.524,1.056,1.094,,,,,,,,,,,,,,,
2025-02-15,1.429,1.512,1.524,1.056,1.094,,,,,,,,,,,,,,,
2025-02-16,1.429,1.513,1.525,1.057,1.094,,,,,,,,,,,,,,,
2025-02-17,1.43,1.497,1.525,1.057,1.094,,,,,,,,,,,,,,,
2025-02-18,1.43,1.513,1.525,1.058,1.094,,,,,,,,,,,,,,,
2025-02-19,1.429,1.512,1.525,1.058,1.094,,,,,,,,,,,,,,,
2025-02-20,1.429,1.512,1.525,1.058,1.094,,,,,,,,,,,,,,,
2025-02-21,1.428,1.512,1.524,1.056,1.092,,,,,,,,,,,,,,,
2025-02-22,1.428,1.511,1.523,1.056,1.092,,,,,,,,,,,,,,,
2025-02-23,1.428,1.511,1.523,1.056,1.094,,,,,,,,,,,,,,,
2025-02-24,1.428,1.494,1.524,1.057,1.093,1.373,1.429,1.454,0.999,1.029,1.459,1.599,1.559,1.179,1.199,1.435,1.497,1.529,1.059,1.098
2025-02-25,1.428,1.512,1.525,1.059,1.094,1.373,1.434,1.454,0.999,1.029,1.459,1.599,1.559,1.179,1.199,1.435,1.516,1.529,1.059,1.098
2025-02-26,1.428,1.512,1.524,1.059,1.094,1.373,1.434,1.454,0.999,1.029,1.459,1.599,1.559,1.179,1.199,1.435,1.512,1.529,1.059,1.098
