Name,Subclass,Url,Division,Retailer
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-51?ref=maptile,,Fuel Daddy
ΝΤΙΝΟΣ ΑΠΟΣΤΟΛΟΥ ΛΙΜΙΤΕΔ,,ntinos-apostoloy-limited?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-50?ref=maptile,,Fuel Daddy
ΜΙΧΑΛΑΚΗΣ ΙΑΚΩΒΟΥ ΛΙΜΙΤΕΔ,,michalakis-iakovoy-limited?ref=maptile,,Fuel Daddy
A. K. Konnaris Service Station Ltd,,a-k-konnaris-service-station-ltd-1?ref=maptile,,Fuel Daddy
DI FORCES TRADING LTD,,di-forces-trading-ltd-1?ref=maptile,,Fuel Daddy
DEMETRIS XANDRIS DEVELOPMENTS LTD,,demetris-xandris-developments-ltd-1?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-55?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-68?ref=maptile,,Fuel Daddy
SONSIRE HOLDINGS LTD,,sonsire-holdings-ltd-3?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-91?ref=maptile,,Fuel Daddy
ONELZIG LTD,,onelzig-ltd-3?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-93?ref=maptile,,Fuel Daddy
Π. ΚΟΚΚΙΝΟΣ ΠΕΤΡΕΛΑΙΟΕΙΔΗ ΛΤΔ,,p-kokkinos-petrelaioeidi-ltd-1?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-90?ref=maptile,,Fuel Daddy
S. KALLIKAS LIMITED,,s-kallikas-limited-3?ref=maptile,,Fuel Daddy
CIRCLEOFFICES LTD,,circleoffices-ltd-1?ref=maptile,,Fuel Daddy
SPECTO LTD,,specto-ltd-1?ref=maptile,,Fuel Daddy
STAROIL (CYPRUS) LTD,,staroil-cyprus-ltd-26?ref=maptile,,Fuel Daddy
P. DIOGENOUS PETROL STATION LTD,,p-diogenous-petrol-station-ltd-1?ref=maptile,,Fuel Daddy
Δ.Α. ΠΑΠΑΣΑΒΒΑΣ ΛΙΜΙΤΕΔ,,da-papasavvas-limited-1?ref=maptile,,Fuel Daddy
M.T. EFTHIMIOU ENTERPRISES LTD,,mt-efthimiou-enterprises-ltd-1?ref=maptile,,Fuel Daddy
Κ. ΜΑΡΜΑΡΑΣ ΠΕΤΡΕΛΑΙΟΕΙΔΗ ΛΙΜΙΤΕΔ,,k-marmaras-petrelaioeidi-limited-1?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-82?ref=maptile,,Fuel Daddy
ΑΝΔΡΕΑΣ Μ. ΚΟΜΜΑΤΟΣ ΛΙΜΙΤΕΔ,,andreas-m-kommatos-limited-2?ref=maptile,,Fuel Daddy
J.K PETROL STATION AND CARWASH LTD,,jk-petrol-station-and-carwash-ltd?ref=maptile,,Fuel Daddy
SPLS TRADING CO LIMITED,,spls-trading-co-limited-1?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-92?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-78?ref=maptile,,Fuel Daddy
N & C FAKONDIS BROS PETROLEUM LTD,,n-c-fakondis-bros-petroleum-ltd-1?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-81?ref=maptile,,Fuel Daddy
