Name,Subclass,Url,Division,Retailer
Kleenex Scottonelle Toilet Paper Pure Clean Mega €2.00 Off 18 Rolls,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.alphamega.com.cy/en/groceries/paper-products/toilet-paper/kleenex-scottonelle-toilet-paper-pure-clean-mega-2-00-off-18-rolls,MISCELLANEOUS GOODS AND SERVICES,Alphamega
Kleenex Scottonelle Toilet Paper Soft & Strong 24+8 Free 32 Rolls,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.alphamega.com.cy/en/groceries/paper-products/toilet-paper/kleenex-scottonelle-toilet-paper-soft-strong-24-8-free-32-rolls,MISCELLANEOUS GOODS AND SERVICES,Alphamega
Canderel with Sucralose 40 g,Artificial sugar substitutes,https://www.alphamega.com.cy/en/groceries/food-cupboard/home-baking/sugar-sweeteners/sweeteners/canderel-with-sucralose-40-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
S-26 Progress Gold Baby Milk Powder No.3 from the 1st Year 400 g,Baby food,https://www.alphamega.com.cy/en/groceries/baby/baby-milk/s-26-progress-gold-baby-milk-powder-no-3-from-the-1st-year-400-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
Nounou Farin Lactee With Wheat Flour & Milk from 6+ Months €0.20 OFF 300 g,Baby food,https://www.alphamega.com.cy/en/groceries/baby/baby-meals/nounou-farin-lactee-with-wheat-flour-milk-from-6-months-0-20-off-300-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
Alphamega Fresh To Go Beef Mince Pre Packed 800 g,Beef and veal,https://www.alphamega.com.cy/en/groceries/fresh-food/fresh-meat/beef/alphamega-fresh-to-go-beef-mince-pre-packed-800-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
Dixan Liquid Laundry Detergent with Active Cleaning Technology Plus 48 Washes 2.160 L,Cleaning and maintenance products,https://www.alphamega.com.cy/en/groceries/laundry/detergent/liquid-detergent/dixan-liquid-laundry-detergent-with-active-cleaning-technology-plus-48-washes-2-160-l,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
Dixan Laundry Detergent Powder with Active Cleaning Technology Plus Ocean Freshness 68 Washes XXL Pack 3.4 Kg,Cleaning and maintenance products,https://www.alphamega.com.cy/en/groceries/laundry/detergent/powder-detergent/dixan-laundry-detergent-powder-with-active-cleaning-technology-plus-ocean-freshness-68-washes-xxl-pack-3-4-kg,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
Dixan Liquid Laundry Detergent with Ocean Freshness 70 Washes 3.150 L,Cleaning and maintenance products,https://www.alphamega.com.cy/en/groceries/laundry/detergent/liquid-detergent/dixan-liquid-laundry-detergent-with-ocean-freshness-70-washes-3-150-l,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Alphamega
Dixan Ocean Freshness Detergent Powder 44 Washes 2.2 Kg,Cleaning and maintenance products,https://www.alphamega.com.cy/en/groceries/laundry/detergent/powder-detergent/dixan-ocean-freshness-detergent-powder-44-washes-2-2-kg,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Alphamega
Comfort Gold Lilies & Wild Berries Fabric Softener 4 L,Cleaning and maintenance products,https://www.alphamega.com.cy/en/groceries/laundry/fabric-softeners/softener/comfort-gold-lilies-wild-berries-fabric-softener-4-l,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Alphamega
G.Charalambous Classic Coffee 500 g,Coffee,https://www.alphamega.com.cy/en/groceries/food-cupboard/coffee-tea-cocoa/coffee/cyprus-coffee/g-charalambous-classic-coffee-500-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
Celest Instant Coffee 200 g,Coffee,https://www.alphamega.com.cy/en/groceries/food-cupboard/coffee-tea-cocoa/coffee/instant-coffee/celest-instant-coffee-200-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
Jacobs Gold Instant Coffee 95 g,Coffee,https://www.alphamega.com.cy/en/groceries/food-cupboard/coffee-tea-cocoa/coffee/instant-coffee/jacobs-gold-instant-coffee-95-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
