Date,Name,Subclass,Price,Division,Retailer
2024-04-09,FLYING HORSE cabin luggage,Travel goods,45.0,MISCELLANEOUS GOODS AND SERVICES,Costas Theodorou
2024-04-09,FANTOM – Spinner 4 wheels – Cabin – Front Loader,Travel goods,95.0,MISCELLANEOUS GOODS AND SERVICES,Costas Theodorou
2024-04-08,FLYING HORSE cabin luggage,Travel goods,45.0,MISCELLANEOUS GOODS AND SERVICES,Costas Theodorou
2024-04-08,FANTOM – Spinner 4 wheels – Cabin – Front Loader,Travel goods,95.0,MISCELLANEOUS GOODS AND SERVICES,Costas Theodorou
2024-04-08,InternetandTelephony20,Internet access provision services,29.99,COMMUNICATION,Epic
2024-04-08,InternetandTelephony50,Internet access provision services,39.99,COMMUNICATION,Epic
2024-04-08,Σίφουνας Ολικής Ψωμί Κομμένο 780g,Bread,2.29,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Μαύρο Μικρό Ψωμί Κομμένο 500g,Bread,1.76,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Κοινό Ψωμί Κομμένο 560g,Bread,1.48,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Κοινό Ψωμί Κομμένο 970g,Bread,1.9,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Άσπρο Ψωμί 560g,Bread,1.67,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Άσπρο Ψωμί 970g,Bread,2.19,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Πίττες Άσπρες Μεγάλες 5Τεμ 550g,Other bakery products,1.76,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Ψωμί Φέτες Τόστ Άσπρο Μικρό 700g,Other bakery products,2.1,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Φραντζολάκια Στρογγυλά 4Τεμ,Other bakery products,1.52,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Φραντζολάκια Μακρόστενα Μεγάλα 4Τεμ,Other bakery products,1.52,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Κρουασάν Βουτύρου 1Τεμ,Other bakery products,1.95,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Λουκανικόπιτα 1Τεμ,Other bakery products,2.15,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Πίτα Σάτζιης Με Μέλι 1Τεμ,Other bakery products,1.8,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Ελιόπιτα Σφολιάτα 1 Τεμ,Other bakery products,2.1,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Κέικ Γεωγραφίας 750g,Other bakery products,10.95,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Σίφουνας Mix Σιροπιαστά 410g,Other bakery products,5.95,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Μαρίας Παξιμάδια Γλυκανίσου 300g,Other bakery products,2.39,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Johnsof Κρουτόνια 320g,Other bakery products,3.32,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Elite Φρυγανιές Σταρένιες 500g 3+1 Δώρο,Other bakery products,2.7,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Bakandys Κρουτόνια 250g,Other bakery products,3.15,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Barilla Σπαγγέτι No 5 500g,Pasta products and couscous,1.69,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Μιτσίδη Σπαγέττι 500g,Pasta products and couscous,1.46,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-04-08,Μιτσίδη Κριθαράκι 500g,Pasta products and couscous,1.49,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
